id,audio_path,lyrics_path,song,genre
000_30_things_i_learned_before_turning_30_00,audio/000_30_things_i_learned_before_turning_30_00.mp3,lyrics/000_30_things_i_learned_before_turning_30_00.txt,30,pop
000_30_things_i_learned_before_turning_30_01,audio/000_30_things_i_learned_before_turning_30_01.mp3,lyrics/000_30_things_i_learned_before_turning_30_01.txt,30,pop
000_30_things_i_learned_before_turning_30_02,audio/000_30_things_i_learned_before_turning_30_02.mp3,lyrics/000_30_things_i_learned_before_turning_30_02.txt,30,pop
000_30_things_i_learned_before_turning_30_03,audio/000_30_things_i_learned_before_turning_30_03.mp3,lyrics/000_30_things_i_learned_before_turning_30_03.txt,30,pop
000_30_things_i_learned_before_turning_30_04,audio/000_30_things_i_learned_before_turning_30_04.mp3,lyrics/000_30_things_i_learned_before_turning_30_04.txt,30,pop
000_30_things_i_learned_before_turning_30_05,audio/000_30_things_i_learned_before_turning_30_05.mp3,lyrics/000_30_things_i_learned_before_turning_30_05.txt,30,pop
000_30_things_i_learned_before_turning_30_06,audio/000_30_things_i_learned_before_turning_30_06.mp3,lyrics/000_30_things_i_learned_before_turning_30_06.txt,30,pop
000_cardigan_00,audio/000_cardigan_00.mp3,lyrics/000_cardigan_00.txt,cardigan,pop
000_cardigan_01,audio/000_cardigan_01.mp3,lyrics/000_cardigan_01.txt,cardigan,pop
000_cardigan_02,audio/000_cardigan_02.mp3,lyrics/000_cardigan_02.txt,cardigan,pop
000_cardigan_03,audio/000_cardigan_03.mp3,lyrics/000_cardigan_03.txt,cardigan,pop
000_cardigan_04,audio/000_cardigan_04.mp3,lyrics/000_cardigan_04.txt,cardigan,pop
000_cardigan_05,audio/000_cardigan_05.mp3,lyrics/000_cardigan_05.txt,cardigan,pop
000_cardigan_06,audio/000_cardigan_06.mp3,lyrics/000_cardigan_06.txt,cardigan,pop
000_cardigan_07,audio/000_cardigan_07.mp3,lyrics/000_cardigan_07.txt,cardigan,pop
000_cardigan_08,audio/000_cardigan_08.mp3,lyrics/000_cardigan_08.txt,cardigan,pop
000_cardigan_09,audio/000_cardigan_09.mp3,lyrics/000_cardigan_09.txt,cardigan,pop
001_afterglow_00,audio/001_afterglow_00.mp3,lyrics/001_afterglow_00.txt,afterglow,folk
001_afterglow_01,audio/001_afterglow_01.mp3,lyrics/001_afterglow_01.txt,afterglow,folk
001_afterglow_02,audio/001_afterglow_02.mp3,lyrics/001_afterglow_02.txt,afterglow,folk
001_afterglow_03,audio/001_afterglow_03.mp3,lyrics/001_afterglow_03.txt,afterglow,folk
001_afterglow_04,audio/001_afterglow_04.mp3,lyrics/001_afterglow_04.txt,afterglow,folk
001_afterglow_05,audio/001_afterglow_05.mp3,lyrics/001_afterglow_05.txt,afterglow,folk
001_afterglow_06,audio/001_afterglow_06.mp3,lyrics/001_afterglow_06.txt,afterglow,folk
001_afterglow_07,audio/001_afterglow_07.mp3,lyrics/001_afterglow_07.txt,afterglow,folk
002_all_you_had_to_do_was_stay_00,audio/002_all_you_had_to_do_was_stay_00.mp3,lyrics/002_all_you_had_to_do_was_stay_00.txt,all,rock
002_all_you_had_to_do_was_stay_01,audio/002_all_you_had_to_do_was_stay_01.mp3,lyrics/002_all_you_had_to_do_was_stay_01.txt,all,rock
002_all_you_had_to_do_was_stay_02,audio/002_all_you_had_to_do_was_stay_02.mp3,lyrics/002_all_you_had_to_do_was_stay_02.txt,all,rock
002_all_you_had_to_do_was_stay_03,audio/002_all_you_had_to_do_was_stay_03.mp3,lyrics/002_all_you_had_to_do_was_stay_03.txt,all,rock
002_all_you_had_to_do_was_stay_04,audio/002_all_you_had_to_do_was_stay_04.mp3,lyrics/002_all_you_had_to_do_was_stay_04.txt,all,rock
002_all_you_had_to_do_was_stay_05,audio/002_all_you_had_to_do_was_stay_05.mp3,lyrics/002_all_you_had_to_do_was_stay_05.txt,all,rock
